topK,cpu_time,cpu_candidates,cpu_discords,gpu_time,speedup,gpu_candidates,gpu_discords
1,268155.17926216125,1743,149,11157.258600272238,24.03414574038987,14155,85
2,1283852.1175384521,2129,244,21270.80816166103,60.35746774551309,15873,170
3,2466906.1851501465,2901,316,43644.78146570921,56.52236309370326,17941,255
4,3909549.7484207153,6390,401,61030.08836632222,64.05938206994459,21917,340
5,4885038.820981979,10413,491,81177.45581877977,60.177284095812524,27456,425
